#alpha,I/muA
6   ,   50
8   ,   50
10  ,   50
12  ,   49
14  ,   48
16  ,   48
18  ,   42
20  ,   47
22  ,   46
24  ,   45
26  ,   44
28  ,   44
30  ,   41
32  ,   41
34  ,   37
36  ,   38
38  ,   37
40  ,   36
42  ,   34
44  ,   32
46  ,   30
48  ,   28
50  ,   27
52  ,   24
54  ,   20
56  ,   20
58  ,   18
60  ,   14
62  ,   14
64  ,   12
66  ,   11
68  ,   9.6
70  ,   8
72  ,   8.2
74  ,   8.6
76  ,   9.6
78  ,   10
80  ,   12
82  ,   21
84  ,   30
86  ,   50